id,score,,id,score,,
18142,0.785056732,,18142,0.793729076,,-0.008672343
18143,0.834808276,,18143,0.747194208,,0.087614068
18144,0.714432499,,18144,0.707479797,,0.006952702
18145,0.948484526,,18145,0.903572917,,0.044911609
18146,0.729354335,,18146,0.719942803,,0.009411532
18147,0.805977818,,18147,0.679525881,,0.126451937
18148,0.514234528,,18148,0.483809643,,0.030424885
18149,0.826154353,,18149,0.660055034,,0.166099319
18150,0.731272952,,18150,0.705517877,,0.025755075
18151,0.729168547,,18151,0.600957233,,0.128211314
18152,0.877058902,,18152,0.888974403,,-0.011915501
18153,0.361394451,,18153,0.583412325,,-0.222017874
18154,0.511058488,,18154,0.535694401,,-0.024635913
18155,0.366704242,,18155,0.599767496,,-0.233063254
18156,0.823675054,,18156,0.858815431,,-0.035140377
18157,0.212595014,,18157,0.49797445,,-0.285379436
18158,0.846814461,,18158,0.824135392,,0.022679069
18159,0.702784143,,18159,0.64903328,,0.053750863
18160,0.823833907,,18160,0.710911609,,0.112922297
18161,0.544313726,,18161,0.616795599,,-0.072481874
18162,0.921210232,,18162,0.795160779,,0.126049453
18163,0.795782871,,18163,0.828615576,,-0.032832705
18164,0.83747138,,18164,0.891504224,,-0.054032844
18165,0.842489745,,18165,0.659278655,,0.183211091
18166,0.967972483,,18166,0.91992895,,0.048043534
18167,0.588551248,,18167,0.795340942,,-0.206789694
18168,0.737290162,,18168,0.733632925,,0.003657236
18169,0.982835665,,18169,0.930811333,,0.052024332
18170,0.829639738,,18170,0.898913926,,-0.069274188
18171,0.953466437,,18171,0.941534144,,0.011932293
18172,0.876513282,,18172,0.764575612,,0.111937671
18173,0.540443579,,18173,0.528389521,,0.012054058
18174,0.846587044,,18174,0.865765483,,-0.019178439
18175,0.635878218,,18175,0.742935249,,-0.107057031
18176,0.739627061,,18176,0.703047291,,0.03657977
18177,0.474366072,,18177,0.444782676,,0.029583396
18178,0.646621552,,18178,0.732212054,,-0.085590502
18179,0.978158781,,18179,0.80670951,,0.171449271
18180,0.473075708,,18180,0.575159853,,-0.102084145
18181,0.7509923,,18181,0.879120737,,-0.128128436
18182,0.478713529,,18182,0.455722711,,0.022990819
18183,0.91248349,,18183,0.864421287,,0.048062203
18184,0.985928074,,18184,0.777041052,,0.208887021
18185,0.626212275,,18185,0.583904073,,0.042308203
18186,0.571726487,,18186,0.65171186,,-0.079985374
18187,0.882328929,,18187,0.750694178,,0.131634751
18188,0.707327924,,18188,0.694940057,,0.012387866
18189,0.218127075,,18189,0.393446835,,-0.17531976
18190,0.964436481,,18190,0.922138474,,0.042298006
18191,0.787485632,,18191,0.609232807,,0.178252825
18192,0.676857661,,18192,0.606607928,,0.070249733
18193,0.920318857,,18193,0.728820711,,0.191498147
18194,0.553825445,,18194,0.638676345,,-0.0848509
18195,0.697888338,,18195,0.550580137,,0.147308201
18196,0.372992202,,18196,0.350263121,,0.022729081
18197,0.495675693,,18197,0.557130836,,-0.061455142
18198,0.497261258,,18198,0.523757748,,-0.02649649
18199,0.815591318,,18199,0.80304201,,0.012549308
18200,0.43086958,,18200,0.374819428,,0.056050152
18201,0.6505868,,18201,0.71493829,,-0.06435149
18202,0.692610567,,18202,0.396839502,,0.295771065
18203,0.607365815,,18203,0.566296836,,0.041068979
18204,0.510476441,,18204,0.615434868,,-0.104958427
18205,0.650638713,,18205,0.681459665,,-0.030820952
18206,0.449509478,,18206,0.483636871,,-0.034127393
18207,0.8587922,,18207,0.910020591,,-0.051228392
18208,0.623667022,,18208,0.617038291,,0.006628731
18209,0.825929726,,18209,0.681860525,,0.1440692
18210,0.633698287,,18210,0.612768241,,0.020930046
18211,0.648527277,,18211,0.660552206,,-0.012024928
18212,0.47549298,,18212,0.448235819,,0.027257161
18213,0.460289465,,18213,0.509363703,,-0.049074239
18214,0.437125012,,18214,0.637613922,,-0.20048891
18215,0.65975551,,18215,0.696299478,,-0.036543968
18216,0.870444717,,18216,0.820378417,,0.0500663
18217,0.501817924,,18217,0.508234214,,-0.00641629
18218,0.694295253,,18218,0.752718772,,-0.058423518
18219,0.609730895,,18219,0.558056417,,0.051674477
18220,0.459447162,,18220,0.456481333,,0.002965829
18221,0.6207067,,18221,0.425824685,,0.194882015
18222,0.507039731,,18222,0.70294071,,-0.195900978
18223,0.259741324,,18223,0.354782893,,-0.095041569
18224,0.242913864,,18224,0.40018525,,-0.157271386
18225,0.612749996,,18225,0.507138393,,0.105611603
18226,0.713115476,,18226,0.717357895,,-0.004242419
18227,0.634158549,,18227,0.611082529,,0.02307602
18228,0.943045317,,18228,0.736832019,,0.206213297
18229,0.370338139,,18229,0.346856865,,0.023481274
18230,0.968474572,,18230,0.777779866,,0.190694705
18231,0.80643864,,18231,0.787203365,,0.019235275
18232,0.899803709,,18232,0.757734902,,0.142068807
18233,0.637377946,,18233,0.712064841,,-0.074686895
18234,0.575748373,,18234,0.683536368,,-0.107787994
18235,0.830686924,,18235,0.847169432,,-0.016482508
18236,0.942745818,,18236,0.918866998,,0.02387882
18237,0.888910467,,18237,0.789002369,,0.099908098
18238,0.782652805,,18238,0.915268005,,-0.132615201
18239,0.785346641,,18239,0.889180075,,-0.103833434
18240,0.813227129,,18240,0.896769108,,-0.083541978
18241,0.703579372,,18241,0.827773736,,-0.124194364
